No.,Company,Location_HQ,Region,USState,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in__mil,Year,latitude,longitude,month
1302,Spinny,Gurugram,other,Haryana,India,Asia,300,02-Aug-23,5,6000,5700,Transportation,Series E,513,2023,28.4646148,77.0299194,Aug
1303,Tekion,Bengaluru,other,Karnataka,India,Asia,300,02-Aug-23,10,3000,2700,Other,Series D,435,2023,12.98815675,77.62260004,Aug
1304,Discord,San Francisco,San Francisco Bay Area,California,USA,North America,37,03-Aug-23,4,925,888,Consumer,Series H,,2023,37.7792588,-122.4193286,Aug
1305,Top Hat,Toronto,other,Ontario,Canada,North America,42,04-Aug-23,7,600,558,Education,Series E,234,2023,43.6534817,-79.3839347,Aug
1306,23andMe,San Francisco,San Francisco Bay Area,California,USA,North America,71,08-Aug-23,11,645,574,Healthcare,Post-IPO,1100,2023,37.7792588,-122.4193286,Aug
1307,Doximity,San Francisco,San Francisco Bay Area,California,USA,North America,100,08-Aug-23,10,1000,900,Healthcare,Post-IPO,82,2023,37.7792588,-122.4193286,Aug
1308,Rapid7,Boston,other,Massachusetts,USA,North America,470,08-Aug-23,18,2611,2141,Security,Post-IPO,89,2023,42.3554334,-71.060511,Aug
1309,Thoughtworks,Chicago,other,Illinois,USA,North America,579,08-Aug-23,5,11580,11001,Other,Post-IPO,748,2023,41.8755616,-87.6244212,Aug
1310,Blend,San Francisco,San Francisco Bay Area,California,USA,North America,150,09-Aug-23,19,789,639,Finance,Post-IPO,665,2023,37.7792588,-122.4193286,Aug
1311,Dealtale,Tel Aviv,other,non,Israel,Asia,70,09-Aug-23,100,70,0,Sales,Acquired,2,2023,32.0852997,34.7818064,Aug
1312,SecureWorks,Atlanta,other,Georgia,USA,North America,300,14-Aug-23,15,2000,1700,Security,Post-IPO,83,2023,33.7489924,-84.3902644,Aug
1313,AppFolio,Santa Barbara,other,California,USA,North America,149,17-Aug-23,9,1656,1507,Real Estate,Post-IPO,30,2023,34.4221319,-119.702667,Aug
1314,StreamElements,Tel Aviv,other,non,Israel,Asia,60,17-Aug-23,35,171,111,Media,Series B,111,2023,32.0852997,34.7818064,Aug
1315,Twiga,Nairobi,other,non,Kenya,Africa,283,20-Aug-23,33,858,575,Food,Series C,157,2023,-1.2832533,36.8172449,Aug
1316,Getir,London,other,England,UK,Europe,2500,22-Aug-23,11,22727,20227,Food,Series E,1800,2023,51.4893335,-0.144055085,Aug
1317,Atlas,Chicago,other,Illinois,USA,North America,150,23-Aug-23,30,500,350,HR,Series B,220,2023,41.8755616,-87.6244212,Aug
1318,BlackLine,Los Angeles,other,California,USA,North America,95,23-Aug-23,5,1900,1805,Finance,Post-IPO,220,2023,34.0536909,-118.242766,Aug
1319,Veriff,Tallinn,other,non,Estonia,Europe,101,23-Aug-23,21,481,380,Security,Series C,192,2023,59.4372155,24.7453688,Aug
1320,Captiv8,San Francisco,San Francisco Bay Area,California,USA,North America,8,24-Aug-23,3,267,259,Marketing,Unknown,4,2023,37.7792588,-122.4193286,Aug
1321,Zebra Technologies,Chicago,other,Illinois,USA,North America,700,28-Aug-23,7,10000,9300,Manufacturing,Post-IPO,,2023,41.8755616,-87.6244212,Aug
1322,Huma,London,other,England,UK,Europe,45,30-Aug-23,10,450,405,Healthcare,Unknown,217,2023,51.4893335,-0.144055085,Aug
1323,Kenko Health,Mumbai,other,Maharashtra,India,Asia,50,30-Aug-23,20,250,200,Healthcare,Series A,14,2023,19.0785451,72.878176,Aug
1324,Omuni,Bengaluru,other,Karnataka,India,Asia,60,30-Aug-23,35,171,111,Retail,Acquired,10,2023,12.98815675,77.62260004,Aug
1325,Zeplin,San Francisco,San Francisco Bay Area,California,USA,North America,37,30-Aug-23,35,106,69,Product,Seed,1,2023,37.7792588,-122.4193286,Aug
1326,Nexar,New York City,other,New York,USA,North America,17,04-Sep-23,14,121,104,Transportation,Series D,149,2023,40.7127281,-74.0060152,Sep
1327,Absci,Portland,Cascadia,Oregon,USA,North America,30,05-Sep-23,15,200,170,Healthcare,Post-IPO,238,2024,45.5202471,-122.674194,Sep
1328,Hodinkee,New York City,other,New York,USA,North America,24,05-Sep-23,20,120,96,Retail,Seed,40,2023,40.7127281,-74.0060152,Sep
1329,Roku,San Jose,San Francisco Bay Area,California,USA,North America,360,06-Sep-23,10,3600,3240,Media,Post-IPO,208,2023,37.3361663,-121.890591,Sep
1330,Drift,Boston,other,Massachusetts,USA,North America,100,07-Sep-23,25,400,300,Marketing,Acquired,107,2023,42.3554334,-71.060511,Sep
1331,Chargebee,North Bethesda,San Francisco Bay Area,California,USA,North America,100,11-Sep-23,10,1000,900,Finance,Series H,468,2023,37.773972,-122.431297,Sep
1332,Grabango,Berkeley,San Francisco Bay Area,California,USA,North America,34,11-Sep-23,40,85,51,Food,Unknown,94,2023,37.8708393,-122.272863,Sep
1333,At-Bay,San Francisco,San Francisco Bay Area,California,USA,North America,27,12-Sep-23,9,300,273,Security,Unknown,296,2023,37.7792588,-122.4193286,Sep
1334,Evolve,Denver,other,Colorado,USA,North America,175,12-Sep-23,20,875,700,Travel,Series F,224,2023,39.7392364,-104.984862,Sep
1335,Homeday,Berlin,other,Berlin,Germany,Europe,40,12-Sep-23,20,200,160,Real Estate,Unknown,71,2023,52.5170365,13.3888599,Sep
1336,Paper,Montreal,other,Quebec,Canada,North America,87,12-Sep-23,3,2900,2813,Education,Series D,389,2023,45.5031824,-73.5698065,Sep
1337,Airtable,San Francisco,San Francisco Bay Area,California,USA,North America,237,14-Sep-23,27,878,641,Product,Series F,1400,2023,37.7792588,-122.4193286,Sep
1338,VideoAmp,Los Angeles,other,California,USA,North America,40,14-Sep-23,10,400,360,Marketing,Series F,456,2023,34.0536909,-118.242766,Sep
1339,7shifts,Saskatoon,other,Saskatchewan,Canada,North America,30,15-Sep-23,7,429,399,Food,Series C,131,2023,52.131802,-106.660767,Sep
1340,Lucid Software,Salt Lake City,other,Utah,USA,North America,75,25-Sep-23,7,1071,996,Other,Series E,170,2023,40.7596198,-111.886797,Sep
1341,Dunzo,Bengaluru,other,Karnataka,India,Asia,150,26-Sep-23,30,500,350,Food,Unknown,458,2023,12.98815675,77.62260004,Sep
1342,Flexe,Seattle,Cascadia,Washington,USA,North America,131,26-Sep-23,33,397,266,Logistics,Series D,263,2023,47.6038321,-122.330062,Sep
1343,Fi.Money,Bengaluru,other,Karnataka,India,Asia,30,27-Sep-23,10,300,270,Finance,Series C,137,2023,12.98815675,77.62260004,Sep
1344,Epic Gaming,Raleigh,other,North Carolina,USA,North America,870,28-Sep-23,16,5438,4568,Consumer,Unknown,,2023,35.7803977,-78.6390989,Sep
1345,Cowbell,Pleasanton,San Francisco Bay Area,California,USA,North America,28,29-Sep-23,12,233,205,Finance,Series B,123,2023,37.6624312,-121.8746789,Sep
1346,Chainalysis,New York City,other,New York,USA,North America,150,02-Oct-23,15,1000,850,Crypto,Series F,536,2023,40.7127281,-74.0060152,Oct
1347,Chia Network,San Francisco,San Francisco Bay Area,California,USA,North America,26,02-Oct-23,37,70,44,Crypto,Series D,70,2023,37.7792588,-122.4193286,Oct
1348,Synapse,San Francisco,San Francisco Bay Area,California,USA,North America,86,02-Oct-23,40,215,129,Finance,Series B,50,2023,37.7792588,-122.4193286,Oct
1349,Hopper,Montreal,other,Quebec,Canada,North America,250,04-Oct-23,30,833,583,Travel,Unknown,730,2023,45.5031824,-73.5698065,Oct
1350,Qualtrics,Salt Lake City,other,Utah,USA,North America,780,04-Oct-23,14,5571,4791,Other,Post-IPO,400,2023,40.7596198,-111.886797,Oct
1351,Arrival,London,other,England,UK,Europe,200,05-Oct-23,25,800,600,Transportation,Post-IPO,629,2023,51.4893335,-0.144055085,Oct
1352,SchoolMint,San Francisco,San Francisco Bay Area,California,USA,North America,29,05-Oct-23,14,207,178,Education,Acquired,8,2023,37.7792588,-122.4193286,Oct
1353,InvestCloud,Los Angeles,other,California,USA,North America,80,06-Oct-23,5,1600,1520,Finance,Private Equity,54,2023,34.0536909,-118.242766,Oct
1354,Carbon Health,San Francisco,San Francisco Bay Area,California,USA,North America,114,09-Oct-23,5,2280,2166,Healthcare,Series D,522,2023,37.7792588,-122.4193286,Oct
1355,Deepgram,San Francisco,San Francisco Bay Area,California,USA,North America,20,11-Oct-23,20,100,80,AI,Series B,86,2023,37.7792588,-122.4193286,Oct
1356,Lending Club,San Francisco,San Francisco Bay Area,California,USA,North America,172,12-Oct-23,14,1229,1057,Finance,Post-IPO,392,2023,37.7792588,-122.4193286,Oct
1357,MariaDB,Redwood City,San Francisco Bay Area,California,USA,North America,84,12-Oct-23,28,300,216,Data,Post-IPO,272,2023,37.4863239,-122.232523,Oct
1358,C2FO,Kansas City,other,Kansas,USA,North America,80,16-Oct-23,3,2667,2587,Finance,Series H,537,2023,39.100105,-94.5781416,Oct
1359,LinkedIn,Sunnyvale,San Francisco Bay Area,California,USA,North America,660,16-Oct-23,3,22000,21340,HR,Acquired,154,2023,37.3688301,-122.036349,Oct
1360,ManoMano,Paris,other,non,France,Europe,230,18-Oct-23,25,920,690,Retail,Series F,705,2023,48.8588897,2.320041022,Oct
1361,WeTranSan Francisco Bay Areaer,Amsterdam,other,non,Netherlands,Europe,35,18-Oct-23,10,350,315,Other,Series A,64,2023,52.3730796,4.8924534,Oct
1362,Bullhorn,Boston,other,Massachusetts,USA,North America,140,19-Oct-23,9,1556,1416,Sales,Acquired,32,2023,42.3554334,-71.060511,Oct
1363,Convoy,Seattle,Cascadia,Washington,USA,North America,500,19-Oct-23,100,500,0,Logistics,Series E,1100,2023,47.6038321,-122.330062,Oct
1364,StellarAlgo,Calgary,other,Alberta,Canada,North America,21,19-Oct-23,28,75,54,Data,Series A,16,2023,51.0456064,-114.057541,Oct
1365,Nomad Health,New York City,other,New York,USA,North America,119,20-Oct-23,17,700,581,Healthcare,Unknown,218,2023,40.7127281,-74.0060152,Oct
1366,SiFive,Santa Clara,San Francisco Bay Area,California,USA,North America,130,24-Oct-23,20,650,520,Hardware,Series F,365,2023,37.354107,-121.955238,Oct
1367,Hippo Insurance,Palo Alto,San Francisco Bay Area,California,USA,North America,120,26-Oct-23,20,600,480,Finance,Post-IPO,1300,2023,37.4443293,-122.1598465,Oct
1368,Faire,San Francisco,San Francisco Bay Area,California,USA,North America,250,01-Nov-23,20,1250,1000,Retail,Series G,1700,2023,37.7792588,-122.4193286,Nov
1369,Sana Benefits,Austin,other,Texas,USA,North America,73,01-Nov-23,50,146,73,HR,Series B,106,2023,30.2711286,-97.7436995,Nov
1370,Splunk,San Jose,San Francisco Bay Area,California,USA,North America,500,01-Nov-23,7,7143,6643,Data,Post-IPO,2400,2023,37.3361663,-121.890591,Nov
1371,Beyond Meat,Los Angeles,other,California,USA,North America,65,02-Nov-23,8,813,748,Food,Post-IPO,122,2023,34.0536909,-118.242766,Nov
1372,Viasat,San Diego,other,California,USA,North America,800,02-Nov-23,10,8000,7200,Other,Post-IPO,366,2023,32.7174202,-117.162772,Nov
1373,TripAdvisor,Boston,other,Massachusetts,USA,North America,125,12-Nov-23,4,3125,3000,Travel,Post-IPO,3,2023,42.3554334,-71.060511,Nov
1374,Physics Wallah,Noida,other,Uttar Pradesh,India,Asia,120,19-Nov-23,1,12000,11880,Education,Series A,100,2023,28.5706333,77.3272147,Nov
1375,Our Next Energy,Detroit,other,Michigan,USA,North America,128,27-Nov-23,25,512,384,Transportation,Series B,390,2023,42.3315509,-83.0466403,Nov
1376,Dataminr,New York City,other,New York,USA,North America,150,28-Nov-23,20,750,600,AI,Series F,1100,2023,40.7127281,-74.0060152,Nov
1377,Unity,San Francisco,San Francisco Bay Area,California,USA,North America,265,28-Nov-23,4,6625,6360,Other,Post-IPO,1300,2023,37.7792588,-122.4193286,Nov
1378,Loco,Mumbai,other,Maharashtra,India,Asia,40,30-Nov-23,36,111,71,Consumer,Acquired,52,2023,19.0785451,72.878176,Nov
1379,Zepz,London,other,England,UK,Europe,30,30-Nov-23,2,1500,1470,Finance,Series E,700,2023,51.4893335,-0.144055085,Nov
1380,Spotify,Stockholm,other,non,Sweden,Europe,1500,04-Dec-23,17,9200,7700,Media,Post-IPO,2100,2023,59.3251172,18.0710935,Dec
1381,Incredibuild,Tel Aviv,other,non,Israel,Asia,40,05-Dec-23,20,200,160,Product,Series B,35,2023,32.0852997,34.7818064,Dec
1382,Navan,Palo Alto,San Francisco Bay Area,California,USA,North America,145,05-Dec-23,5,2900,2755,Finance,Unknown,,2023,37.4443293,-122.1598465,Dec
1383,ZestMoney,Bengaluru,other,Karnataka,India,Asia,150,05-Dec-23,100,150,0,Finance,Series C,120,2023,12.98815675,77.62260004,Dec
1384,Zulily,Seattle,Cascadia,Washington,USA,North America,839,08-Dec-23,100,839,0,Retail,Acquired,194,2023,47.6038321,-122.330062,Dec
1385,Jungle Scout,Austin,other,Texas,USA,North America,,09-Dec-23,,,,Retail,Private Equity,110,2024,30.2711286,-97.7436995,Dec
1386,SmileDirectClub,Nashville,other,Tennessee,USA,North America,,09-Dec-23,100,,0,Healthcare,Post-IPO,694,2024,36.1622767,-86.7742984,Dec
1387,Sunfolding,San Francisco,San Francisco Bay Area,California,USA,North America,,09-Dec-23,100,,0,Energy,Series B,32,2024,37.7792588,-122.4193286,Dec
1388,Chipper Cash,San Francisco,San Francisco Bay Area,California,USA,North America,15,11-Dec-23,33,45,30,Finance,Series C,302,2023,37.7792588,-122.4193286,Dec
1389,TomTom,Lodz,other,non,Poland,Europe,45,12-Dec-23,,,,Transportation,Post-IPO,,2024,51.7687323,19.4569911,Dec
1390,Analog Devices,San Jose,San Francisco Bay Area,California,USA,North America,111,13-Dec-23,,,,Manufacturing,Post-IPO,,2024,37.3361663,-121.890591,Dec
1391,Etsy,New York City,other,New York,USA,North America,225,13-Dec-23,11,2045,1820,Retail,Post-IPO,97,2023,40.7127281,-74.0060152,Dec
1392,Etsy,New York City,other,New York,USA,North America,225,13-Dec-23,11,2045,1820,Retail,Post-IPO,97,2024,40.7127281,-74.0060152,Dec
1393,Flex,Milpitas,San Francisco Bay Area,California,USA,North America,31,13-Dec-23,,,,Manufacturing,Unknown,,2024,37.4332273,-121.8989248,Dec
1394,ForgeRock,San Francisco,San Francisco Bay Area,California,USA,North America,109,13-Dec-23,,,,Other,Acquired,234,2024,37.7792588,-122.4193286,Dec
1395,FourKites,Chicago,other,Illinois,USA,North America,,13-Dec-23,15,,,Logistics,Unknown,241,2024,41.8755616,-87.6244212,Dec
1396,Invitae,San Francisco,San Francisco Bay Area,California,USA,North America,235,13-Dec-23,15,1567,1332,Healthcare,Post-IPO,,2023,37.7792588,-122.4193286,Dec
1397,Sojern,San Francisco,San Francisco Bay Area,California,USA,North America,,13-Dec-23,20,,,Marketing,Unknown,172,2024,37.7792588,-122.4193286,Dec
1398,Bolt,San Francisco,San Francisco Bay Area,California,USA,North America,130,14-Dec-23,29,450,320,Finance,Series E,1300,2023,37.7792588,-122.4193286,Dec
1399,Cruise,San Francisco,San Francisco Bay Area,California,USA,North America,900,14-Dec-23,24,3750,2850,Transportation,Acquired,15000,2023,37.7792588,-122.4193286,Dec
1400,Curalie,Berlin,other,Berlin,Germany,Europe,,14-Dec-23,100,,0,Healthcare,Unknown,,2024,52.5170365,13.3888599,Dec
1401,Curbio,Washington DC,other,District of Columbia,USA,North America,,14-Dec-23,,,,Real Estate,Series B,76,2024,38.8950368,-77.0365427,Dec
1402,Flyhomes,Seattle,Cascadia,Washington,USA,North America,,14-Dec-23,,,,Real Estate,Series C,310,2024,47.6038321,-122.330062,Dec
1403,Solarisbank,Berlin,other,Berlin,Germany,Europe,20,14-Dec-23,,,,Finance,Unknown,385,2024,52.5170365,13.3888599,Dec
1404,Stellar Pizza,Los Angeles,other,California,USA,North America,,14-Dec-23,50,,,Food,Series A,25,2024,34.0536909,-118.242766,Dec
1405,Glowforge,Seattle,Cascadia,Washington,USA,North America,30,15-Dec-23,,,,Manufacturing,Series E,133,2024,47.6038321,-122.330062,Dec
1406,Jellysmack,Paris,other,non,France,Europe,,15-Dec-23,,,,Media,Series C,22,2024,48.8588897,2.320041022,Dec
1407,Superpedestrian,Boston,other,Massachusetts,USA,North America,,15-Dec-23,,,,Transportation,Series C,262,2024,42.3554334,-71.060511,Dec
1408,eBay,San Francisco,San Francisco Bay Area,California,USA,North America,20,17-Dec-23,,,,e-commerce,Post-IPO,1,2024,37.7792588,-122.4193286,Dec
1409,Arm Holdings,Shanghai,other,non,China,Asia,70,18-Dec-23,,,,Hardware,Post-IPO,,2024,31.2312707,121.4700152,Dec
1410,Checkout.com,London,other,England,UK,Europe,80,18-Dec-23,,,,Finance,Series D,2,2024,51.4893335,-0.144055085,Dec
1411,Delivery Hero,Berlin,other,Berlin,Germany,Europe,,18-Dec-23,,,,Food,Post-IPO,10,2024,52.5170365,13.3888599,Dec
1412,Enphase Energy,Fremont,San Francisco Bay Area,California,USA,North America,350,18-Dec-23,10,3500,3150,Energy,Post-IPO,116,2023,37.5482697,-121.988571,Dec
1413,Udaan,Bengaluru,other,Karnataka,India,Asia,100,18-Dec-23,10,1000,900,Retail,Unknown,,2023,12.98815675,77.62260004,Dec
1414,InSightec,Haifa,other,non,Israel,Asia,100,19-Dec-23,20,500,400,Healthcare,Unknown,733,2023,32.799313,34.98957172,Dec
1415,InSightec,Haifa,other,non,Israel,Asia,100,19-Dec-23,20,500,400,Healthcare,Unknown,733,2024,32.799313,34.98957172,Dec
1416,Kaspien,Seattle,Cascadia,Washington,USA,North America,,19-Dec-23,100,,0,Retail,Post-IPO,52,2024,47.6038321,-122.330062,Dec
1417,ShareChat,Bengaluru,other,Karnataka,India,Asia,200,20-Dec-23,15,1333,1133,Consumer,Series H,1700,2023,12.98815675,77.62260004,Dec
1418,Hyperloop One,Los Angeles,other,California,USA,North America,,21-Dec-23,100,,0,Transportation,Unknown,368,2024,34.0536909,-118.242766,Dec
1419,Intel,Sacramento,other,California,USA,North America,311,21-Dec-23,,,,Semiconductors,Post-IPO,12,2024,38.5810606,-121.493895,Dec
1420,Palmetto Clean Technology,Charleston,other,South Carolina,USA,North America,,21-Dec-23,,,,Energy,Private Equity,628,2024,32.7884363,-79.9399309,Dec
1421,Paytm,Noida,other,Uttar Pradesh,India,Asia,1000,25-Dec-23,,,,Finance,Unknown,,2024,28.5706333,77.3272147,Dec
1422,Strake,Boulder,other,Colorado,USA,North America,,28-Dec-23,100,,0,Infrastructure,Unknown,,2024,40.0149856,-105.270545,Dec
1423,Bolt.Earth,Bengaluru,other,Karnataka,India,Asia,,29-Dec-23,20,,,Energy,Series B,24,2024,12.98815675,77.62260004,Dec
1424,Frontdesk,Milwaukee,other,Wisconsin,USA,North America,200,02-Jan-24,100,200,0,Travel,Unknown,26,2024,43.0386475,-87.9090751,Jan
1425,The Messenger,New York City,other,New York,USA,North America,24,02-Jan-24,,,,Media,Unknown,,2024,40.7127281,-74.0060152,Jan
1426,Lazada Group,Singapore,other,non,Singapore,Asia,100,03-Jan-24,30,333,233,Retail,Acquired,7,2024,1.2899175,103.8519072,Jan
1427,Orca Security,Tel Aviv,other,non,Israel,Asia,60,03-Jan-24,15,400,340,Security,Series C,632,2024,32.0852997,34.7818064,Jan
1428,Xerox,Norwalk,other,Connecticut,USA,North America,3000,03-Jan-24,15,20000,17000,Hardware,Post-IPO,27,2024,41.1175966,-73.4078968,Jan
1429,InVision,New York City,other,New York,USA,North America,,04-Jan-24,100,,0,Product,Series F,356,2024,40.7127281,-74.0060152,Jan
1430,Trigo,Tel Aviv,other,non,Israel,Asia,30,04-Jan-24,15,200,170,Retail,Series C,199,2024,32.0852997,34.7818064,Jan
1431,VideoAmp,Los Angeles,other,California,USA,North America,,04-Jan-24,20,,,Marketing,Series F,456,2024,34.0536909,-118.242766,Jan
1432,Cue Health,San Diego,other,California,USA,North America,94,05-Jan-24,13,723,629,Healthcare,Post-IPO,899,2024,32.7174202,-117.162772,Jan
1433,Lever,San Francisco,San Francisco Bay Area,California,USA,North America,,05-Jan-24,,,,HR,Acquired,123,2024,37.7792588,-122.4193286,Jan
1434,NanoString Technology,Seattle,Cascadia,Washington,USA,North America,50,06-Jan-24,9,555,505,Healthcare,Post-IPO,826,2024,47.6038321,-122.330062,Jan
1435,LiveVox,San Francisco,San Francisco Bay Area,California,USA,North America,,07-Jan-24,,,,Support,Acquired,12,2024,37.7792588,-122.4193286,Jan
1436,BenchSci,Toronto,other,Ontario,Canada,North America,70,08-Jan-24,17,411,341,Healthcare,Series D,164,2024,43.6534817,-79.3839347,Jan
1437,Flexe,Seattle,Cascadia,Washington,USA,North America,99,08-Jan-24,38,260,161,Logistics,Series D,263,2024,47.6038321,-122.330062,Jan
1438,Flipkart,Bengaluru,other,Karnataka,India,Asia,1100,08-Jan-24,5,22000,20900,Retail,Acquired,13,2024,12.98815675,77.62260004,Jan
1439,Here,Miami,other,Florida,USA,North America,,08-Jan-24,100,,0,Real Estate,Seed,5,2024,25.7741728,-80.19362,Jan
1440,Ledger Investing,New York City,other,New York,USA,North America,,08-Jan-24,25,,,Finance,Series B,91,2024,40.7127281,-74.0060152,Jan
1441,Lendio,Lehi,other,Utah,USA,North America,,08-Jan-24,,,,Finance,Series E,108,2024,40.3881114,-111.8486019,Jan
1442,MeridianLink,Los Angeles,other,California,USA,North America,,08-Jan-24,9,,,Finance,Post-IPO,485,2024,34.0536909,-118.242766,Jan
1443,NuScale Power,Corvallis,other,Oregon,USA,North America,154,08-Jan-24,28,550,396,Energy,Post-IPO,470,2024,44.5645659,-123.2620435,Jan
1444,Pitch,Berlin,other,Berlin,Germany,Europe,80,08-Jan-24,67,119,39,Other,Series B,138,2024,52.5170365,13.3888599,Jan
1445,Unity,San Francisco,San Francisco Bay Area,California,USA,North America,1800,08-Jan-24,25,7200,5400,Other,Post-IPO,1,2024,37.7792588,-122.4193286,Jan
1446,Branch,Columbus,other,Ohio,USA,North America,85,09-Jan-24,,,,Finance,Series C,229,2024,39.9622601,-83.0007065,Jan
1447,EVBox,Amsterdam,other,non,Netherlands,Europe,,09-Jan-24,,,,Energy,Post-IPO,,2024,52.3730796,4.8924534,Jan
1448,FullStory,Atlanta,other,Georgia,USA,North America,50,09-Jan-24,10,500,450,Marketing,Unknown,197,2024,33.7489924,-84.3902644,Jan
1449,Humane,San Francisco,San Francisco Bay Area,California,USA,North America,10,09-Jan-24,4,250,240,Hardware,Series C,230,2024,37.7792588,-122.4193286,Jan
1450,Morning Consult,Washington DC,other,District of Columbia,USA,North America,,09-Jan-24,,,,Data,Series B,91,2024,38.8950368,-77.0365427,Jan
1451,Nevro,Redwood City,San Francisco Bay Area,California,USA,North America,63,09-Jan-24,5,1260,1197,Healthcare,Post-IPO,556,2024,37.4863239,-122.232523,Jan
1452,Rent the Runway,New York City,other,New York,USA,North America,37,09-Jan-24,10,370,333,Retail,Post-IPO,526,2024,40.7127281,-74.0060152,Jan
1453,Treasure Financial,San Francisco,San Francisco Bay Area,California,USA,North America,14,09-Jan-24,60,23,9,Finance,Series A,14,2024,37.7792588,-122.4193286,Jan
1454,Trend Micro,Tokyo,Tokyo,Tokyo,Japan,Asia,,09-Jan-24,2,,,Security,Unknown,,2024,35.6821936,139.762221,Jan
1455,Twitch,San Francisco,San Francisco Bay Area,California,USA,North America,500,09-Jan-24,35,1428,928,Consumer,Acquired,35,2024,37.7792588,-122.4193286,Jan
1456,Uber Freight,San Francisco,San Francisco Bay Area,California,USA,North America,40,09-Jan-24,,,,Logistics,Subsidiary,3,2024,37.7792588,-122.4193286,Jan
1457,Amazon,Seattle,Cascadia,Washington,USA,North America,,10-Jan-24,,,,Retail,Post-IPO,108,2024,47.6038321,-122.330062,Jan
1458,Beam Benefits,Columbus,other,Ohio,USA,North America,74,10-Jan-24,,,,Healthcare,Series E,168,2024,39.9622601,-83.0007065,Jan
1459,ChargePoint,Campbell,San Francisco Bay Area,California,USA,North America,,10-Jan-24,12,,,Manufacturing,Unknown,1,2024,37.287167,-121.949959,Jan
1460,Citrix,Miami,other,Florida,USA,North America,1000,10-Jan-24,12,8333,7333,Infrastructure,Acquired,20,2024,25.7741728,-80.19362,Jan
1461,FreshDirect,New York City,other,New York,USA,North America,100,10-Jan-24,3,3333,3233,Food,Acquired,280,2024,40.7127281,-74.0060152,Jan
1462,Google,Mountain View,San Francisco Bay Area,California,USA,North America,1000,10-Jan-24,,,,Consumer,Post-IPO,26,2024,37.3893889,-122.0832101,Jan
1463,IAC,New York City,other,New York,USA,North America,330,10-Jan-24,,,,Consumer,Post-IPO,,2024,40.7127281,-74.0060152,Jan
1464,Instagram,Palo Alto,San Francisco Bay Area,California,USA,North America,60,10-Jan-24,,,,Consumer,Acquired,57,2024,37.4443293,-122.1598465,Jan
1465,SoFi,San Francisco,San Francisco Bay Area,California,USA,North America,,10-Jan-24,4,,,Finance,Post-IPO,3,2024,37.7792588,-122.4193286,Jan
1466,888,Tel Aviv,other,non,Israel,Asia,,11-Jan-24,,,,Consumer,Post-IPO,,2024,32.0852997,34.7818064,Jan
1467,7Shifts,Saskatoon,other,Saskatchewan,Canada,North America,68,11-Jan-24,19,358,290,Food,Series C,131,2024,52.131802,-106.660767,Jan
1468,Audible,New York City,other,New York,USA,North America,100,11-Jan-24,5,2000,1900,Media,Acquired,14,2024,40.7127281,-74.0060152,Jan
1469,Certinia,San Jose,San Francisco Bay Area,California,USA,North America,,11-Jan-24,,,,Other,Unknown,194,2024,37.3361663,-121.890591,Jan
1470,Chief,New York City,other,New York,USA,North America,,11-Jan-24,,,,HR,Series B,140,2024,40.7127281,-74.0060152,Jan
1471,Cloudflare,San Francisco,San Francisco Bay Area,California,USA,North America,40,11-Jan-24,,,,Security,Post-IPO,332,2024,37.7792588,-122.4193286,Jan
1472,Dextrous Robotics,Memphis,other,Tennessee,USA,North America,,11-Jan-24,100,,0,Logistics,Unknown,,2024,35.1460249,-90.0517638,Jan
1473,Discord,San Francisco,San Francisco Bay Area,California,USA,North America,170,11-Jan-24,17,1000,830,Consumer,Series H,995,2024,37.7792588,-122.4193286,Jan
1474,Inmobi,Bengaluru,other,Karnataka,India,Asia,125,11-Jan-24,5,2500,2375,Marketing,Unknown,320,2024,12.98815675,77.62260004,Jan
1475,New Work SE,Hamburg,other,Hamburg,Germany,Europe,400,11-Jan-24,,,,Consumer,Post-IPO,,2024,53.550341,10.000654,Jan
1476,Playtika,Tel Aviv,other,non,Israel,Asia,300,11-Jan-24,10,3000,2700,Consumer,Post-IPO,,2024,32.0852997,34.7818064,Jan
1477,Sisense,New York City,other,New York,USA,North America,60,11-Jan-24,13,461,401,Data,Series F,274,2024,40.7127281,-74.0060152,Jan
1478,Artifact,San Francisco,San Francisco Bay Area,California,USA,North America,,12-Jan-24,100,,0,Media,Unknown,,2024,37.7792588,-122.4193286,Jan
1479,Dastgyr,Karachi,other,non,Pakistan,Asia,,12-Jan-24,80,,,Retail,Series A,41,2024,24.8546842,67.0207055,Jan
1480,GrabCAD,Tallinn,other,non,Estonia,Europe,13,12-Jan-24,,,,Other,Acquired,28,2024,59.4372155,24.7453688,Jan
1481,Hologram,Chicago,other,Illinois,USA,North America,,12-Jan-24,,,,Infrastructure,Unknown,82,2024,41.8755616,-87.6244212,Jan
1482,Veeam,Columbus,other,Ohio,USA,North America,300,12-Jan-24,,,,Data,Acquired,500,2024,39.9622601,-83.0007065,Jan
1483,Vendr,Boston,other,Massachusetts,USA,North America,,12-Jan-24,,,,Other,Series B,216,2024,42.3554334,-71.060511,Jan
1484,ALI Technologies,Tokyo,Tokyo,Tokyo,Japan,Asia,,16-Jan-24,100,,0,Transportation,Unknown,,2024,35.6821936,139.762221,Jan
